points,area,rivers,Megaselia_notipennis,Megaselia_picta,Megaselia_luteicauda,Megaselia_costa_grossa_sp_nov,Trophodeinus_vicinus,Megaselia_clasperpinto,Apodicrania_sp,Megaselia_coelhinho,Megaselia_megaselia_sp1,Megaselia_spp_costa_grossa_sem_R2+3,Megaselia_spp_costa_grossa,Megaselia_tiquinho,Dorhniphora_fuscicoxa,Dorhniphora_diplocantha,Dorhniphora_canaliculata,Dorhniphora_sp1,Coniceromyia_anacleti,Chaetocnemistoptera_pitorspyla,Johowia_piripleura,Megaselia_latimanus,Megaselia_castaneipleura,Beckerina_sp,Allochaeta_longiciliata,Myriophora_uruguaienses,Ceratoconus_dissitus,Puliciphora_sp.,Megaselia_epandriofurcata,Phalacrotophora_pruinosa,Phalacrotophora_flexivena,Megaselia_preta_4_escutelares,Diplonevra_sp,Diplonevra_setigera,Conicera_sp,Gymnophora_sp,Megaselia_4_escutelares_sp2,Megaselia_4_escutelares_sp4,Megaselia_4_escutelares_sp5,Megaselia_4_escutelares_sp3,Megaselia_4_escutelares_sp6,Megaselia_4_escutelares_sp7,Megaselia_4_escutelares_sp8,Megaselia_4_escutelares_sp_9,Megaselia_4_escutelares_sp_10,Megaselia_4_escutelares_sp_11,Megaselia_bunda_branca,Metopina_sp,Pachyneurela_sp._2,Pachyneurela_sp,Megaselia_abdomen_colorido_sp1,Megaselia_abdomen_colorido_sp2,Megaselia_tubão,Megaselia_boca_triangulo,Megaselia_costal_longa_espaçada,Megaselia_pleurofascia,Phymatopterella_sp,Kerophora_sp,Megaselia_tiquinho_amarelo_sp1,Megaselia_tiquinho_amarelo_sp2,Megaselia_epandrio_piloso_ventral,Megaselia_epandrio_bolinha_amarela,Megaselia_pauxilla,Megaselia_sp2,Megaselia_incarum,Megaselia_sinefurca,Megaselia_aphiochaeta_costa_comprida,Megaselia_Blondie,Megaselia_gracilipalpis,Megaselia_(Aphiochaeta)_epandrio_pelinhos,Megaselia_epandrio_curvada,Megaselia_(Aphiochaeta)_tubão,Megaselia_(Megaselia)_ticão,Peseudacteon_sp._1,Pseudacteon_sp._2,Pseudacteon_sp._3,Pseudacteon_sp._4,Pseudacteon_sp._5,Megaselia_dinocercus,Megaselia_(Aphiochaeta)_mesopleura_pelinhos,Megaselia_(Aphiochaeta)_halter_escuro,Apocephalus_spp,Megaselia_4_escutelares_mancha_mesopleura,Megaselia_(Aphiochaeta)sp.1,Megaselia_(Aphiochaeta)_sp._2,Megaselia_(Aphiochaeta)_sp.3,Megaselia_(Aphiochaeta)_sp._4,Megaselia_(Aphiochaeta)_sp._5,Megaselia_(Aphiochaeta)_sp._6,Pseudacteon_sp._6,Megaselia_fronte_brilhosa,Megaselia_(Megaselia)_sp._3,Megaselia_(Megaselia)_sp._4,Megaselia_(Megaselia)_sp._5,Megaselia_(Megaselia)_sp._6,Megaselia_(Megaselia)_sp._7,Megaselia_(Megaselia)_sp._8,Megaselia_(Megaselia)_sp._9,Megaselia_(Megaselia)_sp._10,Megaselia_(Megaselia)_sp._11,Pseudacteon_sp._7,Pachyneurele_tibia,Apodicrania_sp._2,genero_A,genero_B,genero_C,Syneura_sp,Gymnophora_cymatoneura,Megaselia_(Megaselia)_epandrio_esquerdo_pelo,Megaselia_(Aphiochaeta)_sp._7,Megaselia_(Aphiochaeta)_sp._8,Megaselia_(Aphiochaeta)_sp._9,Megaselia_(Aphiochaeta)_sp._10,Megaselia_carlynensis,Megaselia_tarso_grosso,Megaselia_(Aphiochaeta)_sp._11,Megaselia_(Aphiochaeta)_sp._12,Megaselia_(Aphiochaeta)_sp._13,Megaselia_(Aphiochaeta)_sp._14,Megaselia_(Aphiochaeta)_sp._15
Dunas_01,DCO,corrientes,0,0,0,0,0,0,0,9,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunas_02,DCO,corrientes,66,199,61,0,7,1,43,161,14,0,0,23,1,0,0,0,0,1,0,0,3,1,27,3,21,0,45,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,1,0,2,3,2,2,15,5,1,0,0,0,24,15,4,4,14,5,5,0,5,0,7,3,0,4,0,4,3,0,0,0,3,2,8,29,6,0,0,1,0,0,1,0,1,1,3,1,3,1,1,3,0,0,2,0,0,0,1,0,1,0,12,3,3,0,2,0,1,0,0,0,1,1
Dunas_03,DCO,corrientes,5,115,47,0,2,1,2,86,22,1,2,11,0,0,0,0,0,0,0,0,0,0,15,1,3,0,68,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,5,2,0,6,5,0,1,18,0,0,1,0,0,0,1,0,0,1,0,0,2,3,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0
Dunas_04,DCO,corrientes,130,299,192,0,1,3,3,73,41,0,1,15,1,0,0,0,0,3,0,0,0,0,12,3,0,0,42,9,0,45,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,5,2,3,0,0,0,8,6,3,6,29,18,2,0,21,0,5,0,1,12,0,0,1,0,0,0,0,10,37,18,8,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,7,0,1,1,0,0,3,0,0,0,0,1
Corrientes_01,COR,corrientes,2,4,22,0,4,1,2,0,19,5,2,10,0,0,1,0,0,1,0,0,0,0,4,0,0,0,15,0,1,2,0,0,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,9,0,12,0,0,0,4,9,6,3,8,2,0,1,1,0,3,50,8,0,0,2,0,10,0,0,0,0,2,5,1,1,0,0,0,2,4,0,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,2,0,0,0,0,2,0,1,2
Corrientes_02,COR,corrientes,1,10,17,0,1,1,1,4,4,21,0,31,0,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,4,0,0,2,0,1,4,0,4,0,0,2,2,0,0,33,54,0,0,0,0,1,4,0,0,3,11,1,2,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,5,0,2,0,3,1,0,0,0,0
Corrientes_03,COR,corrientes,0,1,2,0,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Corrientes_04,COR,corrientes,3,17,5,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Areal_01,ARE,pelotas,30,15,44,21,1,199,0,0,138,1,2,278,0,0,0,1,5,0,5,0,0,0,1,0,0,3,4,0,0,0,1,0,0,0,2,4,0,0,0,0,0,1,0,0,0,5,0,0,4,3,63,0,47,1,1,0,2,1,1,40,2,3,0,38,8,0,3,3,0,0,1,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,4,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0
Areal_02,ARE,pelotas,4,9,7,0,0,7,0,1,18,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,5,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
