Código,Espécie,Sexo,Localidade,Latitude,Longitude,Ambiente,Armadilha,Condição da armadilha,Mês,Data de ligação,Data de reposição do álcool,Data de retirada,Temperatura média (°C),Umidade média (%),Velocidade do vento média (m/s),Chuva média (mm),Pressão média (hPa),Pto. Orvalho média (°C)
TabRO 0001,Chrysops variegatus,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0002,Tabanus occidentalis,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0003,Tabanus antarcticus,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0004,Tabanus mucronatus,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0005,Tabanus antarcticus,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0006,Tabanus sorbillans,F,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0007,Chrysops variegatus,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0008,Pityocera pernaquila,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0009,Tabanus antarcticus,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0010,Tabanus sorbillans,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0011,Pityocera pernaquila,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0012,Tabanus piceiventris,F,P2- Hélio,"10°21'15.7""S ","63°21'46.5""W",Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0013,Tabanus occidentalis var. dorsovittatus,F,P3 - Paulo Cabeça,10°17’12.02”S ,63°14’1.42”W,Pasto,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0014,Tabanus sorbillans,M,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0015,Tabanus antarcticus,F,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0016,Diachlorus curvipes,F,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0017,Tabanus antarcticus,F,P4 - Paulo Vicentino,10°12’53.41”S ,63°19’25.59”W,Mata,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0018,Tabanus pungens,M,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0019,Tabanus rubripes,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0020,Tabanus occidentalis var. dorsovittatus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0021,Tabanus pungens,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0022,Phorcotabanus cinereus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0023,Tabanus occidentalis var. dorsovittatus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0024,Tabanus pungens,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0025,Tabanus occidentalis var. modestus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0026,Tabanus occidentalis var. dorsovittatus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0027,Tabanus antarcticus,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Pasto,Nzi,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
TabRO 0028,Pityocera pernaquila,F,P5 - Nelcivaldo,10°06’21.4”S ,63°16’55.7”W,Mata,Malaise,Preservada,Junho,3 de junho de 2019,5 de junho de 2019,8 de junho de 2019,25.65,81.34,87.705,164,998.46,21.86
