espécies,7/5/2002,7/12/2002,7/19/2002,7/26/2002,8/2/2002,8/9/2002,8/16/2002,8/23/2002,8/30/2002,9/6/2002,9/13/2002,9/20/2002,9/27/2002,10/4/2002,10/11/2002,10/18/2002,10/25/2002,11/1/2002,11/8/2002,11/15/2002,11/22/2002,11/29/2002,12/6/2002,12/13/2002,12/20/2002,12/27/2002,1/3/2003,1/10/2003,1/17/2003,1/24/2003,1/31/2003,2/7/2003,2/14/2003,2/21/2003,2/28/2003,3/7/2003,3/14/2003,3/21/2003,3/28/2003,4/4/2003,4/11/2003,4/18/2003,4/25/2003,5/2/2003,5/9/2003,5/16/2003,5/23/2003,5/30/2003,6/6/2003,6/13/2003,6/20/2003,6/27/2003,
Biopyrellia_bipuncta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Bithoracochaeta_calopus,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,2,5,8,14,6,8,1,0,9,1,3,2,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Bithoracochaeta_equatoralis,0,0,2,0,2,0,1,1,1,1,1,3,0,0,2,0,0,0,2,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Bithoracochaeta_plumata,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,3,3,3,5,1,0,3,3,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,38
Brontaea_delecta,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Brontaea_debilis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7
Brontaea_quadristigma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Coenosia_sp._1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,1,1,1,1,0,1,2,2,1,2,2,4,3,2,2,2,3,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,44
Cyrtoneurina_costalis,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,1,2,0,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Cyrtoneuropsis_brunnea,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,7,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,29
Cyrtoneuropsis_pararescita,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,2,8,1,0,1,3,5,3,7,9,5,24,18,2,16,11,4,0,0,0,2,0,129
Dolichophaonia_machadoi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dolichophaonia_noctiluca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Graphomyia_auriceps,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
Graphomyia_maculata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
Helina_sp._1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
Helina_sp._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Helina_sp._3,2,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Helina_sp._4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Limnophora_aurifascies,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Limnophora_paranaensis,6,4,4,2,4,0,0,3,1,7,2,0,2,3,4,2,2,2,6,13,16,20,7,1,1,0,1,4,1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,126
Limnophora_sp._1,14,1,0,3,0,0,1,4,0,6,0,1,2,0,2,2,2,3,3,16,15,20,12,3,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120
Limnophora_sp._2,4,0,0,2,0,0,0,0,0,1,1,0,0,0,1,2,1,0,2,19,5,11,0,4,1,1,1,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,65
Lispe_serotina,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,2,0,0,3,0,3,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Micropotamia_minuscula,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Morellia_paulistanensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Mydaea_plaumani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Myospila_meditabunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Myospila_obscura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Neodexiopsis_erecta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Neodexiopsis_flavipalpis,0,0,0,1,2,1,1,1,0,0,0,1,3,2,0,2,4,1,2,5,2,5,6,0,6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Neodexiopsis_legitima,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Neodexiopsis_neoaustralis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Neodexiopsis_nigerrina,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Neodexiopsis_paulistensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Neodexiopsis_rara,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Neodexiopsis_rufitibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
