Código,Espécie,Local de pouso,Local de pouso,Sexo,Data da captura,Hora de captura,Temperatura (°C),Umidade (%),Localidade,Latitude,Longitude,Ambiente,Mês,Armadilha,Coletadores,Observações Augusto
PTC 001,Tabanus occidentalis,6 E,Perna dianteira,F,16.viii.2019,9:30,"28,7",49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 002,Tabanus occidentalis var. dorsovittatus,6 E,Perna dianteira,F,16.viii.2019,9:39,29,49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 003,Stypommisa aripuana,7 E,Perna traseira,F,16.viii.2019,9:47,"29,1",49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 004,Tabanus occidentalis var. modestus,6 D,Perna dianteira,F,16.viii.2019,10:39,"29,4",49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 005,Tabanus dorsorufus,7 D,Perna traseira,F,16.viii.2019,10:54,"29,1",49,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,TALLITA,
PTC 006,Stypommisa aripuana,6 E,Perna dianteira,F,16.viii.2019,11:15,29,50,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 007,Stypommisa aripuana,6 D,Perna dianteira,F,16.viii.2019,11:42,"29,5",50,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 008,Stypommisa aripuana,6 E,Perna dianteira,F,16.viii.2019,11:49,"29,7",50,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 009,Stypommisa aripuana,7 D,Perna traseira,F,16.viii.2019,12:04,"29,9",48,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
PTC 010,Stypommisa aripuana,6 D,Perna dianteira,F,16.viii.2019,12:16,"29,9",43,P1 - Argeu,10°28’26.9”S ,63°15’18.1”W,Mata beira do rio,Agosto,Cavalo com puçá,MARLON,
